"","(Intercept)","educ","fumasi","gest","I(gest^3)"
"s64",-968.100380559535,13.34978635325,-152.335372773678,78.8951336482269,0.0167806938620351
"s65",-1138.13159916468,13.6229204198051,-157.407762878124,83.3008116880432,0.0167264992236775
"s66",-1299.68247529595,13.8375121541598,-161.482552050268,87.94301040688,0.0163827638067722
"s67",-1459.06891832054,14.0098602563829,-164.710457695431,92.9956790980116,0.0157393128325141
"s68",-1621.85621213017,14.1536370194883,-167.236678669285,98.6073887413319,0.0147904517430855
"s69",-1792.96935428746,14.2791593974269,-169.189984430829,104.90877150575,0.0135320638096257
"s70",-1975.88692547471,14.3938728865036,-170.682013897577,111.980548723654,0.0119688462346097
"s71",-2173.55134513176,14.5031233190205,-171.803254074242,119.890533657468,0.0101052579914531
"s72",-2383.76466868174,14.6093016640369,-172.636468671471,128.5002437042,0.00799471997325969
"s73",-2601.55254125781,14.7127325271655,-173.248918695728,137.559489239518,0.00571733439974788
"s74",-2822.73453846515,14.8131764104076,-173.689527824683,146.856740344152,0.00334132577132271
"s75",-3040.78631842268,14.9091545475396,-174.000292992321,156.087246671146,0.000956654112701739
"s76",-3245.9228196659,14.9977615139811,-174.219587545567,164.812631257712,-0.00131394015331137
"s77",-3435.20841709729,15.0782534000298,-174.368965250607,172.89029736119,-0.00342637093890266
"s78",-3601.93419047676,15.1485426761792,-174.472458202178,180.021775538634,-0.00529784366030852
"s79",-3745.26921597764,15.2085668649451,-174.543222679341,186.162787135574,-0.00691331917788312
"s80",-3866.78305028923,15.2591287046861,-174.58988507234,191.374795414724,-0.00828670243244962
"s81",-3966.41123953421,15.3004526858173,-174.62188508768,195.651752744791,-0.00941513051413741
"s82",-4047.42569294068,15.3339382731996,-174.643088219389,199.131690122042,-0.0103340702522214
"s83",-4110.90791398491,15.3601820387477,-174.658885399771,201.859981686104,-0.0110550917423165
"s84",-4161.87485002467,15.3811681573646,-174.668742252058,204.050935808815,-0.011634310798541
"s85",-4200.35375999869,15.3970605739373,-174.677159413879,205.705729870861,-0.0120720541450666
"s86",-4230.37231942167,15.409436784222,-174.682949049355,206.996877884259,-0.012413675970374
"s87",-4254.62802236749,15.4193731102594,-174.685803481756,208.040063503539,-0.0126896482102191
"s88",-4271.99433266105,15.4265437079745,-174.689292388673,208.787279690913,-0.012887456276977
"s89",-4286.7971637988,15.4325754203008,-174.690083444179,209.423916814976,-0.0130558739782709
"s90",-4297.43844295632,15.4369400724436,-174.691393091397,209.881729044863,-0.0131770478897462
"s91",-4304.41300362292,15.4398548100578,-174.693668867201,210.182036840524,-0.0132566347835785
"s92",-4311.28565005247,15.44263808817,-174.693551734107,210.477587198455,-0.0133348083778495
"s93",-4314.66882494362,15.4441561196852,-174.695482378333,210.623385428141,-0.0133735150356716
"s94",-4318.07175364215,15.4455412518755,-174.696070043725,210.769842518306,-0.0134122980125871
"s95",-4321.43207089079,15.4468736213476,-174.695606493469,210.914296694449,-0.0134504817208053
"s96",-4324.70578833263,15.4481465717115,-174.694410136306,211.054907249058,-0.0134876001660803
"s97",-4327.86335835965,15.449356220286,-174.692717666197,211.190441553698,-0.0135233428491272
"s98",-4330.88590815553,15.4505008932615,-174.690704188662,211.320116204022,-0.0135575140715946
"s99",-4333.76240608303,15.4515805024266,-174.688498482168,211.443477593691,-0.0135900023412974
